夜航星(00:04:59): 东哥你要不要叫一下张凯？
夜航星(03:28:57): 然后就是属于不就不属于门店这层级的他就操作不了。然后财务的话他可以看财务这块的数据。

张凯(03:29:03): 对。

夜航星(03:29:11): 人事就可以看人事的相关数据，然后商商品管理，对应这边的商品管理。

夜航星(03:29:24): 然后。客户经理对应的就是客户管理。普通员工只能看到自己的。

张凯(03:29:35): 但是普通员工他还分了角色嘞。

夜航星(03:29:36): 三角形。

张凯(03:29:41): 比如我打比方说推广部和美容部，他们不是，比如说美容部，他是能看到自己顾客的，然后推广部他是没顾客的。

夜航星(03:29:53): 美美容部能看到自己顾客？

张凯(03:30:01): 在小程序上不是可以看得到吗？

夜航星(03:30:04): 因为这边是管理小程序那边.. 他不是管理，就他要去编辑？

张凯(03:30:16): 美容师就是我们小程序上是不是有个顾客档案，美容师能看到自己分配的顾客了？

夜航星(03:30:17): 对。美容师看到自己分配的顾客。我们现在权限在模块去划分的。那还精确不到这种逻辑关联了。

张凯(03:30:44): 模块。

夜航星(03:30:45): 对。

张凯(03:30:53): 商品管理和好像和客户管理。好像和财务人事是两个维度！就比如说财务他是有权打比方说财务他有可能有权限管商品管理和客户管理来。

夜航星(03:31:06): 财务那你这个权责划分有点乱，你可以给这个人分配这三个权限，你不能这个权限包含那么多权限吧？

张凯(03:31:26): 对你讲的逻辑也是一样的，我可能给某一个人分配对是一样的。

夜航星(03:31:31): 包括一个人分配多个门店都可以。但是我们现在就讨论我就这些。模块这些角色对应的板块要给他理一理。

张凯(03:32:00): 店长。

夜航星(03:32:03): 我有个表格要不发给你看一下。

邵冬(03:32:09): 是觉得理事，我觉得是谢工这边的需求是要理一理，张总你你要理这个我估计你理的也头痛。只能大致理出来。先理一下吧张总。

张凯(03:32:34): 你们先吃饭吧！等了那么久了。

张凯(03:32:48): 那就散会了好辛苦了！

夜航星(03:32:50): 好。
